branch,hospital-types,product-category-code,product-category-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,value,value-percentage,name,catalog,year,period
,,0,pozostałe świadczenia,476,8.63,0,53246.71,0.22,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
,,4,leczenie żywieniowe,92,1.67,0,257548.2,1.08,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
,,5,pobyt w OAiIT,1042,18.89,0,22629580.37,94.92,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,994,18.02,0,752144.89,3.16,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
,,0,pozostałe świadczenia,36,6.11,0,3652.0,0.27,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
,,4,leczenie żywieniowe,7,1.19,0,24276.0,1.81,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
,,5,pobyt w OAiIT,58,9.85,0,1257333.53,93.49,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,69,11.71,0,46940.4,3.49,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
,,0,pozostałe świadczenia,231,4.07,0,18768.0,0.19,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,5,pobyt w OAiIT,394,6.94,0,9094201.34,92.5,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,728,12.82,0,393615.03,4.0,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,0,pozostałe świadczenia,437,6.41,0,29457.93,0.21,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,4,leczenie żywieniowe,71,1.04,0,229388.16,1.63,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,5,pobyt w OAiIT,602,8.83,0,13149590.78,93.18,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,555,8.14,0,369047.67,2.62,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,0,pozostałe świadczenia,65,4.37,0,18222.75,1.25,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,5,pobyt w OAiIT,73,4.91,0,1337820.5,91.63,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,64,4.31,0,33830.4,2.32,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,0,pozostałe świadczenia,12,2.43,0,0.0,0.0,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,5,1.01,0,19431.0,34.18,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,0,pozostałe świadczenia,382,3.62,0,2927.18,0.16,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,205,1.94,0,116645.05,6.25,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2009,2009
,,0,pozostałe świadczenia,80,1.66,0,0.01,0.0,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2009,2009
,,0,pozostałe świadczenia,46,1.02,0,0.0,0.0,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2009,2009
