branch,hospital-types,product-category-code,product-category-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,value,value-percentage,name,catalog,year,period
,,6,przetoczenie preparatów krwi i innych substancji,1154,25.01,0,1546426.15,1.71,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,5,pobyt w OAiIT,1120,24.27,0,41918969.35,46.29,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,0,pozostałe świadczenia,1499,32.48,0,1336694.55,1.48,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,4,leczenie żywieniowe,1130,24.49,0,585823.06,0.65,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,6,przetoczenie preparatów krwi i innych substancji,36,14.4,0,50334.03,1.36,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2021,2021
,,5,pobyt w OAiIT,29,11.6,0,1344585.42,36.3,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2021,2021
,,0,pozostałe świadczenia,52,20.8,0,9924.84,0.27,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2021,2021
,,4,leczenie żywieniowe,31,12.4,0,13494.6,0.36,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2021,2021
,,0,pozostałe świadczenia,61,13.23,0,4872.04,0.02,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2021,2021
,,0,pozostałe świadczenia,63,7.24,0,1900.0,0.01,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2021,2021
,,6,przetoczenie preparatów krwi i innych substancji,639,8.96,0,558885.21,0.37,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,5,pobyt w OAiIT,664,9.31,0,16998348.52,11.17,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,0,pozostałe świadczenia,1976,27.71,0,2063469.21,1.36,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,4,leczenie żywieniowe,480,6.73,0,236412.32,0.16,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,0,pozostałe świadczenia,405,55.03,0,341621.91,1.96,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2021,2021
