branch,hospital-types,contract-product-code,contract-product-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
,,3179,NEUROCHIRURGIA - HOSPITALIZACJA,4598,83.33,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
,,3149,CHIRURGIA OGÓLNA -  HOSPITALIZACJA,715,12.96,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
,,3188,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,112,2.03,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
,,3179,NEUROCHIRURGIA - HOSPITALIZACJA,474,80.48,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
,,3149,CHIRURGIA OGÓLNA -  HOSPITALIZACJA,47,7.98,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
,,3188,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,26,4.41,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
,,3152,CHIRURGIA DZIECIĘCA -  HOSPITALIZACJA,19,3.23,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
,,3184,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA,15,2.55,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
,,3204,OTORYNOLARYNGOLOGIA - HOSPITALIZACJA,8,1.36,6,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
,,3183,NEUROCHIRURGIA - HOSPITALIZACJA - A03,198,100.0,5,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2009,2009
,,3179,NEUROCHIRURGIA - HOSPITALIZACJA,95,100.0,7,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2009,2009
,,3179,NEUROCHIRURGIA - HOSPITALIZACJA,5569,98.06,11,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3204,OTORYNOLARYNGOLOGIA - HOSPITALIZACJA,70,1.23,16,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3179,NEUROCHIRURGIA - HOSPITALIZACJA,6296,92.36,12,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3184,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA,298,4.37,14,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3152,CHIRURGIA DZIECIĘCA -  HOSPITALIZACJA,121,1.77,10,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3179,NEUROCHIRURGIA - HOSPITALIZACJA,1052,70.79,8,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3184,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA,193,12.99,7,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3152,CHIRURGIA DZIECIĘCA -  HOSPITALIZACJA,79,5.32,7,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3188,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,61,4.1,4,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3212,CHIRURGIA SZCZĘKOWO-TWARZOWA - HOSPITALIZACJA,40,2.69,5,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3204,OTORYNOLARYNGOLOGIA - HOSPITALIZACJA,28,1.88,10,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3149,CHIRURGIA OGÓLNA -  HOSPITALIZACJA,22,1.48,3,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3212,CHIRURGIA SZCZĘKOWO-TWARZOWA - HOSPITALIZACJA,280,56.8,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3179,NEUROCHIRURGIA - HOSPITALIZACJA,91,18.46,8,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3117,NEUROLOGIA - HOSPITALIZACJA,67,13.59,7,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3188,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,12,2.43,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3121,NEUROLOGIA DZIECIĘCA - HOSPITALIZACJA,9,1.83,4,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3204,OTORYNOLARYNGOLOGIA - HOSPITALIZACJA,8,1.62,8,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3184,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA,7,1.42,8,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3152,CHIRURGIA DZIECIĘCA -  HOSPITALIZACJA,6,1.22,9,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3213,CHIRURGIA SZCZĘKOWO-TWARZOWA - HOSPITALIZACJA PLANOWA,6,1.22,0,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3179,NEUROCHIRURGIA - HOSPITALIZACJA,8636,81.73,8,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2009,2009
,,3188,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,1741,16.48,8,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2009,2009
,,3179,NEUROCHIRURGIA - HOSPITALIZACJA,3859,80.05,8,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2009,2009
,,3188,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,442,9.17,4,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2009,2009
,,3149,CHIRURGIA OGÓLNA -  HOSPITALIZACJA,382,7.92,8,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2009,2009
,,3150,CHIRURGIA OGÓLNA - HOSPITALIZACJA PLANOWA,69,1.43,2,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2009,2009
,,3189,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA PLANOWA,61,1.27,2,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2009,2009
,,3188,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,1917,42.62,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2009,2009
,,3179,NEUROCHIRURGIA - HOSPITALIZACJA,795,17.67,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2009,2009
,,3149,CHIRURGIA OGÓLNA -  HOSPITALIZACJA,520,11.56,1,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2009,2009
,,3189,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA PLANOWA,396,8.8,0,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2009,2009
,,3190,ORTOPEDIA I TRAUMAT NARZ RUCHU - ZESPÓŁ CHIRURGII JEDNEGO DNIA,370,8.23,0,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2009,2009
,,3171,CHIRURGIA PLASTYCZNA - HOSPITALIZACJA,154,3.42,1,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2009,2009
,,3117,NEUROLOGIA - HOSPITALIZACJA,116,2.58,4,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2009,2009
,,3179,NEUROCHIRURGIA - HOSPITALIZACJA,443,38.96,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2009,2009
,,3184,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA,185,16.27,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2009,2009
,,3068,CHOROBY WEWNĘTRZNE - HOSPITALIZACJA PLANOWA,153,13.46,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2009,2009
,,3188,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,101,8.88,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2009,2009
,,3165,CHIRURGIA ONKOLOGICZNA - HOSPITALIZACJA,63,5.54,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2009,2009
,,3124,ONKOLOGIA KLINICZNA - HOSPITALIZACJA,53,4.66,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2009,2009
,,3149,CHIRURGIA OGÓLNA -  HOSPITALIZACJA,37,3.25,1,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2009,2009
,,3189,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA PLANOWA,32,2.81,1,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2009,2009
,,3161,CHIRURGIA NACZYNIOWA -  HOSPITALIZACJA,25,2.2,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2009,2009
,,3117,NEUROLOGIA - HOSPITALIZACJA,19,1.67,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2009,2009
,,3151,CHIRURGIA OGÓLNA -  ZESPÓŁ CHIRURGII JEDNEGO DNIA,12,1.06,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2009,2009
,,3117,NEUROLOGIA - HOSPITALIZACJA,1649,96.49,10,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2009,2009
,,3121,NEUROLOGIA DZIECIĘCA - HOSPITALIZACJA,58,3.39,9,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2009,2009
,,3117,NEUROLOGIA - HOSPITALIZACJA,11819,71.15,7,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2009,2009
,,3067,CHOROBY WEWNĘTRZNE -  HOSPITALIZACJA,2806,16.89,4,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2009,2009
